Date,Home Team,Road Team
10/7/23,Austin FC,Los Angeles FC
10/7/23,Houston Dynamo FC,Colorado Rapids
10/7/23,Real Salt Lake,Sporting Kansas City
10/7/23,Seattle Sounders FC,Vancouver Whitecaps FC
10/21/23,Colorado Rapids,Real Salt Lake
10/21/23,Sporting Kansas City,Minnesota United FC
10/21/23,New England Revolution,Philadelphia Union
10/21/23,San Jose Earthquakes,Austin FC
10/21/23,Vancouver Whitecaps FC,Los Angeles FC
10/21/23,Columbus Crew,CF Montréal
10/21/23,LA Galaxy,FC Dallas
10/21/23,New York City FC,Chicago Fire FC
10/21/23,St. Louis City SC,Seattle Sounders FC
10/21/23,Toronto FC,Orlando City SC
10/21/23,FC Cincinnati,Atlanta United FC
10/21/23,Nashville SC,New York Red Bulls
10/21/23,Portland Timbers,Houston Dynamo FC
10/21/23,Charlotte FC,Inter Miami CF
