Date,Home Team,Road Team,City,State,League,Sport
04/03/23,Washington Nationals,Tampa Bay Rays,Washington D.C.,Washington D.C.,MLB,Baseball
04/04/23,Boston Red Sox,Pittsburgh Pirates,Boston,Massachusetts,MLB,Baseball
04/04/23,Cincinnati Reds,Chicago Cubs,Cincinnati,Ohio,MLB,Baseball
04/04/23,Houston Astros,Detroit Tigers,Houston,Texas,MLB,Baseball
04/04/23,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
04/04/23,Los Angeles Dodgers,Colorado Rockies,Los Angeles,California,MLB,Baseball
04/04/23,Miami Marlins,Minnesota Twins,Miami,Florida,MLB,Baseball
04/04/23,Milwaukee Brewers,New York Mets,Milwaukee,Wisconsin,MLB,Baseball
04/04/23,New York Yankees,Philadelphia Phillies,New York,New York,MLB,Baseball
04/04/23,Oakland Athletics,Cleveland Guardians,Oakland,California,MLB,Baseball
04/04/23,San Diego Padres,Arizona Diamondbacks,San Diego,California,MLB,Baseball
04/04/23,Seattle Mariners,Los Angeles Angels,Seattle,Washington,MLB,Baseball
04/04/23,St. Louis Cardinals,Atlanta Braves,St. Louis,Missouri,MLB,Baseball
04/04/23,Texas Rangers,Baltimore Orioles,Arlington,Texas,MLB,Baseball
04/04/23,Washington Nationals,Tampa Bay Rays,Washington D.C.,Washington D.C.,MLB,Baseball
04/05/23,Boston Red Sox,Pittsburgh Pirates,Boston,Massachusetts,MLB,Baseball
04/05/23,Chicago White Sox,San Francisco Giants,Chicago,Illinois,MLB,Baseball
04/05/23,Houston Astros,Detroit Tigers,Houston,Texas,MLB,Baseball
04/05/23,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
04/05/23,Miami Marlins,Minnesota Twins,Miami,Florida,MLB,Baseball
04/05/23,Milwaukee Brewers,New York Mets,Milwaukee,Wisconsin,MLB,Baseball
04/05/23,New York Yankees,Philadelphia Phillies,New York,New York,MLB,Baseball
04/05/23,Oakland Athletics,Cleveland Guardians,Oakland,California,MLB,Baseball
04/05/23,Seattle Mariners,Los Angeles Angels,Seattle,Washington,MLB,Baseball
04/05/23,St. Louis Cardinals,Atlanta Braves,St. Louis,Missouri,MLB,Baseball
04/05/23,Texas Rangers,Baltimore Orioles,Arlington,Texas,MLB,Baseball
04/05/23,Washington Nationals,Tampa Bay Rays,Washington D.C.,Washington D.C.,MLB,Baseball
04/06/23,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
04/06/23,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
04/06/23,Chicago White Sox,San Francisco Giants,Chicago,Illinois,MLB,Baseball
04/06/23,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
04/06/23,Detroit Tigers,Boston Red Sox,Detroit,Michigan,MLB,Baseball
04/06/23,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
04/07/23,Los Angeles Angels,Toronto Blue Jays,Los Angeles,California,MLB,Baseball
04/07/23,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
04/07/23,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
