id,game_date,home_team,road_team,city,state,league,sport
70,9/16/2023,Colorado Rapids,New England Revolution,Commerce City,Colorado,MLS,Soccer
71,9/16/2023,Los Angeles FC,LA Galaxy,Los Angeles,California,MLS,Soccer
72,9/16/2023,San Jose Earthquakes,Real Salt Lake,San Jose,California,MLS,Soccer
73,9/17/2023,Austin FC,Portland Timbers,Austin,Texas,MLS,Soccer
74,9/20/2023,Charlotte FC,Philadelphia Union,Charlotte,North Carolina,MLS,Soccer
75,9/20/2023,D.C. United,Atlanta United FC,Washington D.C.,Washington D.C.,MLS,Soccer
76,9/20/2023,CF Montréal,FC Cincinnati,Montreal,Quebec,MLS,Soccer
77,9/20/2023,New York City FC,Orlando City SC,New York City,New York,MLS,Soccer
78,9/20/2023,Inter Miami CF,Toronto FC,Fort Lauderdale,Florida,MLS,Soccer
79,9/20/2023,Columbus Crew,Chicago Fire FC,Columbus,Ohio,MLS,Soccer
80,9/20/2023,New York Red Bulls,Austin FC,Harrison,New Jersey,MLS,Soccer
81,9/20/2023,Houston Dynamo FC,Vancouver Whitecaps FC,Houston,Texas,MLS,Soccer
82,9/20/2023,Sporting Kansas City,Nashville SC,Kansas City,Kansas,MLS,Soccer
83,9/20/2023,St. Louis City SC,Los Angeles FC,St. Louis,Missouri,MLS,Soccer
84,9/20/2023,Real Salt Lake,FC Dallas,Sandy,Utah,MLS,Soccer
85,9/20/2023,Colorado Rapids,Seattle Sounders FC,Commerce City,Colorado,MLS,Soccer
86,9/20/2023,Portland Timbers,San Jose Earthquakes,Portland,Oregon,MLS,Soccer
87,9/20/2023,LA Galaxy,Minnesota United FC,Carson,California,MLS,Soccer
88,9/23/2023,FC Cincinnati,Charlotte FC,Cincinnati,Ohio,MLS,Soccer
89,9/23/2023,New York City FC,Toronto FC,New York City,New York,MLS,Soccer
90,9/23/2023,D.C. United,New York Red Bulls,Washington D.C.,Washington D.C.,MLS,Soccer
91,9/23/2023,Atlanta United FC,CF Montréal,Atlanta,Georgia,MLS,Soccer
92,9/23/2023,Philadelphia Union,Los Angeles FC,Chester,Pennsylvania,MLS,Soccer
93,9/23/2023,Chicago Fire FC,New England Revolution,Chicago,Illinois,MLS,Soccer
94,9/23/2023,Minnesota United FC,St. Louis City SC,Saint Paul,Minnesota,MLS,Soccer
95,9/23/2023,FC Dallas,Columbus Crew,Frisco,Texas,MLS,Soccer
96,9/23/2023,Sporting Kansas City,Houston Dynamo FC,Kansas City,Kansas,MLS,Soccer
