id,game_date,home_team,road_team,city,state,league,sport
595,05/02/2023,Miami Marlins,Atlanta Braves,Miami,Florida,MLB,Baseball
596,05/02/2023,New York Yankees,Cleveland Guardians,New York,New York,MLB,Baseball
597,05/02/2023,Oakland Athletics,Seattle Mariners,Oakland,California,MLB,Baseball
598,05/02/2023,San Diego Padres,Cincinnati Reds,San Diego,California,MLB,Baseball
599,05/02/2023,St. Louis Cardinals,Los Angeles Angels,St. Louis,Missouri,MLB,Baseball
600,05/02/2023,Tampa Bay Rays,Pittsburgh Pirates,Tampa,Florida,MLB,Baseball
601,05/02/2023,Texas Rangers,Arizona Diamondbacks,Arlington,Texas,MLB,Baseball
602,05/02/2023,Washington Nationals,Chicago Cubs,Washington D.C.,Washington D.C.,MLB,Baseball
603,05/03/2023,Boston Red Sox,Toronto Blue Jays,Boston,Massachusetts,MLB,Baseball
604,05/03/2023,Chicago White Sox,Minnesota Twins,Chicago,Illinois,MLB,Baseball
605,05/03/2023,Colorado Rockies,Milwaukee Brewers,Denver,Colorado,MLB,Baseball
606,05/03/2023,Detroit Tigers,New York Mets,Detroit,Michigan,MLB,Baseball
607,05/03/2023,Detroit Tigers,New York Mets,Detroit,Michigan,MLB,Baseball
608,05/03/2023,Houston Astros,San Francisco Giants,Houston,Texas,MLB,Baseball
609,05/03/2023,Kansas City Royals,Baltimore Orioles,Kansas City,Missouri,MLB,Baseball
610,05/03/2023,Los Angeles Dodgers,Philadelphia Phillies,Los Angeles,California,MLB,Baseball
611,05/03/2023,Miami Marlins,Atlanta Braves,Miami,Florida,MLB,Baseball
612,05/03/2023,New York Yankees,Cleveland Guardians,New York,New York,MLB,Baseball
613,05/03/2023,Oakland Athletics,Seattle Mariners,Oakland,California,MLB,Baseball
614,05/03/2023,San Diego Padres,Cincinnati Reds,San Diego,California,MLB,Baseball
615,05/03/2023,St. Louis Cardinals,Los Angeles Angels,St. Louis,Missouri,MLB,Baseball
616,05/03/2023,Tampa Bay Rays,Pittsburgh Pirates,Tampa,Florida,MLB,Baseball
617,05/03/2023,Texas Rangers,Arizona Diamondbacks,Arlington,Texas,MLB,Baseball
618,05/03/2023,Washington Nationals,Chicago Cubs,Washington D.C.,Washington D.C.,MLB,Baseball
619,05/04/2023,Boston Red Sox,Toronto Blue Jays,Boston,Massachusetts,MLB,Baseball
620,05/04/2023,Chicago White Sox,Minnesota Twins,Chicago,Illinois,MLB,Baseball
621,05/04/2023,Colorado Rockies,Milwaukee Brewers,Denver,Colorado,MLB,Baseball
622,05/04/2023,Detroit Tigers,New York Mets,Detroit,Michigan,MLB,Baseball
623,05/04/2023,Kansas City Royals,Baltimore Orioles,Kansas City,Missouri,MLB,Baseball
624,05/04/2023,Miami Marlins,Atlanta Braves,Miami,Florida,MLB,Baseball
625,05/04/2023,Oakland Athletics,Seattle Mariners,Oakland,California,MLB,Baseball
626,05/04/2023,St. Louis Cardinals,Los Angeles Angels,St. Louis,Missouri,MLB,Baseball
627,05/04/2023,Tampa Bay Rays,Pittsburgh Pirates,Tampa,Florida,MLB,Baseball
628,05/04/2023,Washington Nationals,Chicago Cubs,Washington D.C.,Washington D.C.,MLB,Baseball
629,05/05/2023,Los Angeles Angels,Texas Rangers,Los Angeles,California,MLB,Baseball
630,05/05/2023,Arizona Diamondbacks,Washington Nationals,Phoenix,Arizona,MLB,Baseball
631,05/05/2023,Atlanta Braves,Baltimore Orioles,Atlanta,Georgia,MLB,Baseball
632,05/05/2023,Chicago Cubs,Miami Marlins,Chicago,Illinois,MLB,Baseball
633,05/05/2023,Cincinnati Reds,Chicago White Sox,Cincinnati,Ohio,MLB,Baseball
634,05/05/2023,Cleveland Guardians,Minnesota Twins,Cleveland,Ohio,MLB,Baseball
635,05/05/2023,Kansas City Royals,Oakland Athletics,Kansas City,Missouri,MLB,Baseball
636,05/05/2023,New York Mets,Colorado Rockies,New York,New York,MLB,Baseball
637,05/05/2023,Philadelphia Phillies,Boston Red Sox,Philadelphia,Pennsylvania,MLB,Baseball
638,05/05/2023,Pittsburgh Pirates,Toronto Blue Jays,Pittsburgh,Pennsylvania,MLB,Baseball
639,05/05/2023,San Diego Padres,Los Angeles Dodgers,San Diego,California,MLB,Baseball
640,05/05/2023,Seattle Mariners,Houston Astros,Seattle,Washington,MLB,Baseball
641,05/05/2023,San Francisco Giants,Milwaukee Brewers,San Francisco,California,MLB,Baseball
642,05/05/2023,St. Louis Cardinals,Detroit Tigers,St. Louis,Missouri,MLB,Baseball
643,05/05/2023,Tampa Bay Rays,New York Yankees,Tampa,Florida,MLB,Baseball
644,05/06/2023,Los Angeles Angels,Texas Rangers,Los Angeles,California,MLB,Baseball
645,05/06/2023,Arizona Diamondbacks,Washington Nationals,Phoenix,Arizona,MLB,Baseball
646,05/06/2023,Atlanta Braves,Baltimore Orioles,Atlanta,Georgia,MLB,Baseball
647,05/06/2023,Chicago Cubs,Miami Marlins,Chicago,Illinois,MLB,Baseball
648,05/06/2023,Cincinnati Reds,Chicago White Sox,Cincinnati,Ohio,MLB,Baseball
649,05/06/2023,Cleveland Guardians,Minnesota Twins,Cleveland,Ohio,MLB,Baseball
650,05/06/2023,Kansas City Royals,Oakland Athletics,Kansas City,Missouri,MLB,Baseball
651,05/06/2023,New York Mets,Colorado Rockies,New York,New York,MLB,Baseball
652,05/06/2023,Philadelphia Phillies,Boston Red Sox,Philadelphia,Pennsylvania,MLB,Baseball
653,05/06/2023,Pittsburgh Pirates,Toronto Blue Jays,Pittsburgh,Pennsylvania,MLB,Baseball
654,05/06/2023,San Diego Padres,Los Angeles Dodgers,San Diego,California,MLB,Baseball
655,05/06/2023,Seattle Mariners,Houston Astros,Seattle,Washington,MLB,Baseball
656,05/06/2023,San Francisco Giants,Milwaukee Brewers,San Francisco,California,MLB,Baseball
657,05/06/2023,St. Louis Cardinals,Detroit Tigers,St. Louis,Missouri,MLB,Baseball
658,05/06/2023,Tampa Bay Rays,New York Yankees,Tampa,Florida,MLB,Baseball
659,05/07/2023,Los Angeles Angels,Texas Rangers,Los Angeles,California,MLB,Baseball
660,05/07/2023,Arizona Diamondbacks,Washington Nationals,Phoenix,Arizona,MLB,Baseball
661,05/07/2023,Atlanta Braves,Baltimore Orioles,Atlanta,Georgia,MLB,Baseball
662,05/07/2023,Chicago Cubs,Miami Marlins,Chicago,Illinois,MLB,Baseball
663,05/07/2023,Cincinnati Reds,Chicago White Sox,Cincinnati,Ohio,MLB,Baseball
664,05/07/2023,Cleveland Guardians,Minnesota Twins,Cleveland,Ohio,MLB,Baseball
665,05/07/2023,Kansas City Royals,Oakland Athletics,Kansas City,Missouri,MLB,Baseball
666,05/07/2023,New York Mets,Colorado Rockies,New York,New York,MLB,Baseball
667,05/07/2023,Philadelphia Phillies,Boston Red Sox,Philadelphia,Pennsylvania,MLB,Baseball
668,05/07/2023,Pittsburgh Pirates,Toronto Blue Jays,Pittsburgh,Pennsylvania,MLB,Baseball
669,05/07/2023,San Diego Padres,Los Angeles Dodgers,San Diego,California,MLB,Baseball
670,05/07/2023,Seattle Mariners,Houston Astros,Seattle,Washington,MLB,Baseball
671,05/07/2023,San Francisco Giants,Milwaukee Brewers,San Francisco,California,MLB,Baseball
672,05/07/2023,St. Louis Cardinals,Detroit Tigers,St. Louis,Missouri,MLB,Baseball
673,05/07/2023,Tampa Bay Rays,New York Yankees,Tampa,Florida,MLB,Baseball
674,05/08/2023,Los Angeles Angels,Houston Astros,Los Angeles,California,MLB,Baseball
675,05/08/2023,Arizona Diamondbacks,Miami Marlins,Phoenix,Arizona,MLB,Baseball
676,05/08/2023,Baltimore Orioles,Tampa Bay Rays,Baltimore,Maryland,MLB,Baseball
677,05/08/2023,Chicago Cubs,St. Louis Cardinals,Chicago,Illinois,MLB,Baseball
678,05/08/2023,Cleveland Guardians,Detroit Tigers,Cleveland,Ohio,MLB,Baseball
679,05/08/2023,Kansas City Royals,Chicago White Sox,Kansas City,Missouri,MLB,Baseball
680,05/08/2023,Milwaukee Brewers,Los Angeles Dodgers,Milwaukee,Wisconsin,MLB,Baseball
681,05/08/2023,New York Yankees,Oakland Athletics,New York,New York,MLB,Baseball
682,05/08/2023,Pittsburgh Pirates,Colorado Rockies,Pittsburgh,Pennsylvania,MLB,Baseball
683,05/08/2023,Seattle Mariners,Texas Rangers,Seattle,Washington,MLB,Baseball
684,05/08/2023,San Francisco Giants,Washington Nationals,San Francisco,California,MLB,Baseball
685,05/09/2023,Los Angeles Angels,Houston Astros,Los Angeles,California,MLB,Baseball
686,05/09/2023,Arizona Diamondbacks,Miami Marlins,Phoenix,Arizona,MLB,Baseball
687,05/09/2023,Atlanta Braves,Boston Red Sox,Atlanta,Georgia,MLB,Baseball
688,05/09/2023,Baltimore Orioles,Tampa Bay Rays,Baltimore,Maryland,MLB,Baseball
689,05/09/2023,Chicago Cubs,St. Louis Cardinals,Chicago,Illinois,MLB,Baseball
690,05/09/2023,Cincinnati Reds,New York Mets,Cincinnati,Ohio,MLB,Baseball
691,05/09/2023,Cleveland Guardians,Detroit Tigers,Cleveland,Ohio,MLB,Baseball
692,05/09/2023,Kansas City Royals,Chicago White Sox,Kansas City,Missouri,MLB,Baseball
693,05/09/2023,Milwaukee Brewers,Los Angeles Dodgers,Milwaukee,Wisconsin,MLB,Baseball
694,05/09/2023,Minnesota Twins,San Diego Padres,Minneapolis,Minnesota,MLB,Baseball
695,05/09/2023,New York Yankees,Oakland Athletics,New York,New York,MLB,Baseball
696,05/09/2023,Philadelphia Phillies,Toronto Blue Jays,Philadelphia,Pennsylvania,MLB,Baseball
697,05/09/2023,Pittsburgh Pirates,Colorado Rockies,Pittsburgh,Pennsylvania,MLB,Baseball
698,05/09/2023,Seattle Mariners,Texas Rangers,Seattle,Washington,MLB,Baseball
699,05/09/2023,San Francisco Giants,Washington Nationals,San Francisco,California,MLB,Baseball
700,05/10/2023,Los Angeles Angels,Houston Astros,Los Angeles,California,MLB,Baseball
701,05/10/2023,Arizona Diamondbacks,Miami Marlins,Phoenix,Arizona,MLB,Baseball
702,05/10/2023,Atlanta Braves,Boston Red Sox,Atlanta,Georgia,MLB,Baseball
703,05/10/2023,Baltimore Orioles,Tampa Bay Rays,Baltimore,Maryland,MLB,Baseball
704,05/10/2023,Chicago Cubs,St. Louis Cardinals,Chicago,Illinois,MLB,Baseball
705,05/10/2023,Cincinnati Reds,New York Mets,Cincinnati,Ohio,MLB,Baseball
706,05/10/2023,Cleveland Guardians,Detroit Tigers,Cleveland,Ohio,MLB,Baseball
707,05/10/2023,Kansas City Royals,Chicago White Sox,Kansas City,Missouri,MLB,Baseball
708,05/10/2023,Milwaukee Brewers,Los Angeles Dodgers,Milwaukee,Wisconsin,MLB,Baseball
709,05/10/2023,Minnesota Twins,San Diego Padres,Minneapolis,Minnesota,MLB,Baseball
710,05/10/2023,New York Yankees,Oakland Athletics,New York,New York,MLB,Baseball
711,05/10/2023,Philadelphia Phillies,Toronto Blue Jays,Philadelphia,Pennsylvania,MLB,Baseball
712,05/10/2023,Pittsburgh Pirates,Colorado Rockies,Pittsburgh,Pennsylvania,MLB,Baseball
713,05/10/2023,Seattle Mariners,Texas Rangers,Seattle,Washington,MLB,Baseball
714,05/10/2023,San Francisco Giants,Washington Nationals,San Francisco,California,MLB,Baseball
715,05/11/2023,Arizona Diamondbacks,San Francisco Giants,Phoenix,Arizona,MLB,Baseball
716,05/11/2023,Cincinnati Reds,New York Mets,Cincinnati,Ohio,MLB,Baseball
717,05/11/2023,Kansas City Royals,Chicago White Sox,Kansas City,Missouri,MLB,Baseball
718,05/11/2023,Minnesota Twins,San Diego Padres,Minneapolis,Minnesota,MLB,Baseball
719,05/11/2023,New York Yankees,Tampa Bay Rays,New York,New York,MLB,Baseball
720,05/11/2023,Oakland Athletics,Texas Rangers,Oakland,California,MLB,Baseball
721,05/12/2023,Arizona Diamondbacks,San Francisco Giants,Phoenix,Arizona,MLB,Baseball
722,05/12/2023,Baltimore Orioles,Pittsburgh Pirates,Baltimore,Maryland,MLB,Baseball
723,05/12/2023,Boston Red Sox,St. Louis Cardinals,Boston,Massachusetts,MLB,Baseball
724,05/12/2023,Chicago White Sox,Houston Astros,Chicago,Illinois,MLB,Baseball
725,05/12/2023,Cleveland Guardians,Los Angeles Angels,Cleveland,Ohio,MLB,Baseball
726,05/12/2023,Colorado Rockies,Philadelphia Phillies,Denver,Colorado,MLB,Baseball
727,05/12/2023,Detroit Tigers,Seattle Mariners,Detroit,Michigan,MLB,Baseball
728,05/12/2023,Los Angeles Dodgers,San Diego Padres,Los Angeles,California,MLB,Baseball
729,05/12/2023,Miami Marlins,Cincinnati Reds,Miami,Florida,MLB,Baseball
730,05/12/2023,Milwaukee Brewers,Kansas City Royals,Milwaukee,Wisconsin,MLB,Baseball
731,05/12/2023,Minnesota Twins,Chicago Cubs,Minneapolis,Minnesota,MLB,Baseball
732,05/12/2023,New York Yankees,Tampa Bay Rays,New York,New York,MLB,Baseball
733,05/12/2023,Oakland Athletics,Texas Rangers,Oakland,California,MLB,Baseball
734,05/12/2023,Toronto Blue Jays,Atlanta Braves,Toronto,Ontario,MLB,Baseball
735,05/12/2023,Washington Nationals,New York Mets,Washington D.C.,Washington D.C.,MLB,Baseball
736,05/13/2023,Arizona Diamondbacks,San Francisco Giants,Phoenix,Arizona,MLB,Baseball
737,05/13/2023,Baltimore Orioles,Pittsburgh Pirates,Baltimore,Maryland,MLB,Baseball
738,05/13/2023,Boston Red Sox,St. Louis Cardinals,Boston,Massachusetts,MLB,Baseball
739,05/13/2023,Chicago White Sox,Houston Astros,Chicago,Illinois,MLB,Baseball
740,05/13/2023,Cleveland Guardians,Los Angeles Angels,Cleveland,Ohio,MLB,Baseball
741,05/13/2023,Colorado Rockies,Philadelphia Phillies,Denver,Colorado,MLB,Baseball
742,05/13/2023,Detroit Tigers,Seattle Mariners,Detroit,Michigan,MLB,Baseball
743,05/13/2023,Los Angeles Dodgers,San Diego Padres,Los Angeles,California,MLB,Baseball
744,05/13/2023,Miami Marlins,Cincinnati Reds,Miami,Florida,MLB,Baseball
745,05/13/2023,Milwaukee Brewers,Kansas City Royals,Milwaukee,Wisconsin,MLB,Baseball
746,05/13/2023,Minnesota Twins,Chicago Cubs,Minneapolis,Minnesota,MLB,Baseball
747,05/13/2023,New York Yankees,Tampa Bay Rays,New York,New York,MLB,Baseball
748,05/13/2023,Oakland Athletics,Texas Rangers,Oakland,California,MLB,Baseball
749,05/13/2023,Toronto Blue Jays,Atlanta Braves,Toronto,Ontario,MLB,Baseball
750,05/13/2023,Washington Nationals,New York Mets,Washington D.C.,Washington D.C.,MLB,Baseball
751,05/14/2023,Arizona Diamondbacks,San Francisco Giants,Phoenix,Arizona,MLB,Baseball
752,05/14/2023,Baltimore Orioles,Pittsburgh Pirates,Baltimore,Maryland,MLB,Baseball
753,05/14/2023,Boston Red Sox,St. Louis Cardinals,Boston,Massachusetts,MLB,Baseball
754,05/14/2023,Chicago White Sox,Houston Astros,Chicago,Illinois,MLB,Baseball
755,05/14/2023,Cleveland Guardians,Los Angeles Angels,Cleveland,Ohio,MLB,Baseball
756,05/14/2023,Colorado Rockies,Philadelphia Phillies,Denver,Colorado,MLB,Baseball
757,05/14/2023,Detroit Tigers,Seattle Mariners,Detroit,Michigan,MLB,Baseball
758,05/14/2023,Los Angeles Dodgers,San Diego Padres,Los Angeles,California,MLB,Baseball
759,05/14/2023,Miami Marlins,Cincinnati Reds,Miami,Florida,MLB,Baseball
760,05/14/2023,Milwaukee Brewers,Kansas City Royals,Milwaukee,Wisconsin,MLB,Baseball
761,05/14/2023,Minnesota Twins,Chicago Cubs,Minneapolis,Minnesota,MLB,Baseball
762,05/14/2023,New York Yankees,Tampa Bay Rays,New York,New York,MLB,Baseball
763,05/14/2023,Oakland Athletics,Texas Rangers,Oakland,California,MLB,Baseball
764,05/14/2023,Toronto Blue Jays,Atlanta Braves,Toronto,Ontario,MLB,Baseball
765,05/14/2023,Washington Nationals,New York Mets,Washington D.C.,Washington D.C.,MLB,Baseball
766,05/15/2023,Baltimore Orioles,Los Angeles Angels,Baltimore,Maryland,MLB,Baseball
767,05/15/2023,Boston Red Sox,Seattle Mariners,Boston,Massachusetts,MLB,Baseball
768,05/15/2023,Colorado Rockies,Cincinnati Reds,Denver,Colorado,MLB,Baseball
769,05/15/2023,Houston Astros,Chicago Cubs,Houston,Texas,MLB,Baseball
770,05/15/2023,Los Angeles Dodgers,Minnesota Twins,Los Angeles,California,MLB,Baseball
771,05/15/2023,Oakland Athletics,Arizona Diamondbacks,Oakland,California,MLB,Baseball
772,05/15/2023,San Diego Padres,Kansas City Royals,San Diego,California,MLB,Baseball
773,05/15/2023,San Francisco Giants,Philadelphia Phillies,San Francisco,California,MLB,Baseball
774,05/15/2023,St. Louis Cardinals,Milwaukee Brewers,St. Louis,Missouri,MLB,Baseball
775,05/15/2023,Texas Rangers,Atlanta Braves,Arlington,Texas,MLB,Baseball
776,05/15/2023,Toronto Blue Jays,New York Yankees,Toronto,Ontario,MLB,Baseball
777,05/15/2023,Washington Nationals,New York Mets,Washington D.C.,Washington D.C.,MLB,Baseball
778,05/16/2023,Baltimore Orioles,Los Angeles Angels,Baltimore,Maryland,MLB,Baseball
779,05/16/2023,Boston Red Sox,Seattle Mariners,Boston,Massachusetts,MLB,Baseball
780,05/16/2023,Chicago White Sox,Cleveland Guardians,Chicago,Illinois,MLB,Baseball
781,05/16/2023,Colorado Rockies,Cincinnati Reds,Denver,Colorado,MLB,Baseball
782,05/16/2023,Detroit Tigers,Pittsburgh Pirates,Detroit,Michigan,MLB,Baseball
783,05/16/2023,Houston Astros,Chicago Cubs,Houston,Texas,MLB,Baseball
784,05/16/2023,Los Angeles Dodgers,Minnesota Twins,Los Angeles,California,MLB,Baseball
785,05/16/2023,Miami Marlins,Washington Nationals,Miami,Florida,MLB,Baseball
786,05/16/2023,New York Mets,Tampa Bay Rays,New York,New York,MLB,Baseball
787,05/16/2023,Oakland Athletics,Arizona Diamondbacks,Oakland,California,MLB,Baseball
788,05/16/2023,San Diego Padres,Kansas City Royals,San Diego,California,MLB,Baseball
789,05/16/2023,San Francisco Giants,Philadelphia Phillies,San Francisco,California,MLB,Baseball
790,05/16/2023,St. Louis Cardinals,Milwaukee Brewers,St. Louis,Missouri,MLB,Baseball
791,05/16/2023,Texas Rangers,Atlanta Braves,Arlington,Texas,MLB,Baseball
792,05/16/2023,Toronto Blue Jays,New York Yankees,Toronto,Ontario,MLB,Baseball
793,05/17/2023,Baltimore Orioles,Los Angeles Angels,Baltimore,Maryland,MLB,Baseball
794,05/17/2023,Boston Red Sox,Seattle Mariners,Boston,Massachusetts,MLB,Baseball
795,05/17/2023,Chicago White Sox,Cleveland Guardians,Chicago,Illinois,MLB,Baseball
796,05/17/2023,Colorado Rockies,Cincinnati Reds,Denver,Colorado,MLB,Baseball
797,05/17/2023,Detroit Tigers,Pittsburgh Pirates,Detroit,Michigan,MLB,Baseball
798,05/17/2023,Houston Astros,Chicago Cubs,Houston,Texas,MLB,Baseball
799,05/17/2023,Los Angeles Dodgers,Minnesota Twins,Los Angeles,California,MLB,Baseball
800,05/17/2023,Miami Marlins,Washington Nationals,Miami,Florida,MLB,Baseball
801,05/17/2023,New York Mets,Tampa Bay Rays,New York,New York,MLB,Baseball
802,05/17/2023,Oakland Athletics,Arizona Diamondbacks,Oakland,California,MLB,Baseball
803,05/17/2023,San Diego Padres,Kansas City Royals,San Diego,California,MLB,Baseball
804,05/17/2023,San Francisco Giants,Philadelphia Phillies,San Francisco,California,MLB,Baseball
805,05/17/2023,St. Louis Cardinals,Milwaukee Brewers,St. Louis,Missouri,MLB,Baseball
806,05/17/2023,Texas Rangers,Atlanta Braves,Arlington,Texas,MLB,Baseball
807,05/17/2023,Toronto Blue Jays,New York Yankees,Toronto,Ontario,MLB,Baseball
808,05/18/2023,Baltimore Orioles,Los Angeles Angels,Baltimore,Maryland,MLB,Baseball
809,05/18/2023,Chicago White Sox,Cleveland Guardians,Chicago,Illinois,MLB,Baseball
810,05/18/2023,Miami Marlins,Washington Nationals,Miami,Florida,MLB,Baseball
811,05/18/2023,New York Mets,Tampa Bay Rays,New York,New York,MLB,Baseball
812,05/18/2023,St. Louis Cardinals,Los Angeles Dodgers,St. Louis,Missouri,MLB,Baseball
813,05/18/2023,Toronto Blue Jays,New York Yankees,Toronto,Ontario,MLB,Baseball
814,05/19/2023,Los Angeles Angels,Minnesota Twins,Los Angeles,California,MLB,Baseball
815,05/19/2023,Atlanta Braves,Seattle Mariners,Atlanta,Georgia,MLB,Baseball
816,05/19/2023,Chicago White Sox,Kansas City Royals,Chicago,Illinois,MLB,Baseball
817,05/19/2023,Cincinnati Reds,New York Yankees,Cincinnati,Ohio,MLB,Baseball
818,05/19/2023,Houston Astros,Oakland Athletics,Houston,Texas,MLB,Baseball
819,05/19/2023,New York Mets,Cleveland Guardians,New York,New York,MLB,Baseball
820,05/19/2023,Philadelphia Phillies,Chicago Cubs,Philadelphia,Pennsylvania,MLB,Baseball
821,05/19/2023,Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh,Pennsylvania,MLB,Baseball
822,05/19/2023,San Diego Padres,Boston Red Sox,San Diego,California,MLB,Baseball
823,05/19/2023,San Francisco Giants,Miami Marlins,San Francisco,California,MLB,Baseball
824,05/19/2023,St. Louis Cardinals,Los Angeles Dodgers,St. Louis,Missouri,MLB,Baseball
825,05/19/2023,Tampa Bay Rays,Milwaukee Brewers,Tampa,Florida,MLB,Baseball
826,05/19/2023,Texas Rangers,Colorado Rockies,Arlington,Texas,MLB,Baseball
827,05/19/2023,Toronto Blue Jays,Baltimore Orioles,Toronto,Ontario,MLB,Baseball
828,05/19/2023,Washington Nationals,Detroit Tigers,Washington D.C.,Washington D.C.,MLB,Baseball
829,05/20/2023,Los Angeles Angels,Minnesota Twins,Los Angeles,California,MLB,Baseball
830,05/20/2023,Atlanta Braves,Seattle Mariners,Atlanta,Georgia,MLB,Baseball
831,05/20/2023,Chicago White Sox,Kansas City Royals,Chicago,Illinois,MLB,Baseball
832,05/20/2023,Cincinnati Reds,New York Yankees,Cincinnati,Ohio,MLB,Baseball
833,05/20/2023,Houston Astros,Oakland Athletics,Houston,Texas,MLB,Baseball
834,05/20/2023,Philadelphia Phillies,Chicago Cubs,Philadelphia,Pennsylvania,MLB,Baseball
835,05/20/2023,Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh,Pennsylvania,MLB,Baseball
836,05/20/2023,San Diego Padres,Boston Red Sox,San Diego,California,MLB,Baseball
837,05/20/2023,San Francisco Giants,Miami Marlins,San Francisco,California,MLB,Baseball
838,05/20/2023,St. Louis Cardinals,Los Angeles Dodgers,St. Louis,Missouri,MLB,Baseball
839,05/20/2023,Tampa Bay Rays,Milwaukee Brewers,Tampa,Florida,MLB,Baseball
840,05/20/2023,Texas Rangers,Colorado Rockies,Arlington,Texas,MLB,Baseball
841,05/20/2023,Toronto Blue Jays,Baltimore Orioles,Toronto,Ontario,MLB,Baseball
842,05/20/2023,Washington Nationals,Detroit Tigers,Washington D.C.,Washington D.C.,MLB,Baseball
843,05/21/2023,Los Angeles Angels,Minnesota Twins,Los Angeles,California,MLB,Baseball
844,05/21/2023,Atlanta Braves,Seattle Mariners,Atlanta,Georgia,MLB,Baseball
845,05/21/2023,Chicago White Sox,Kansas City Royals,Chicago,Illinois,MLB,Baseball
846,05/21/2023,Cincinnati Reds,New York Yankees,Cincinnati,Ohio,MLB,Baseball
847,05/21/2023,Houston Astros,Oakland Athletics,Houston,Texas,MLB,Baseball
848,05/21/2023,New York Mets,Cleveland Guardians,New York,New York,MLB,Baseball
849,05/21/2023,New York Mets,Cleveland Guardians,New York,New York,MLB,Baseball
850,05/21/2023,Philadelphia Phillies,Chicago Cubs,Philadelphia,Pennsylvania,MLB,Baseball
851,05/21/2023,Pittsburgh Pirates,Arizona Diamondbacks,Pittsburgh,Pennsylvania,MLB,Baseball
852,05/21/2023,San Diego Padres,Boston Red Sox,San Diego,California,MLB,Baseball
853,05/21/2023,San Francisco Giants,Miami Marlins,San Francisco,California,MLB,Baseball
854,05/21/2023,St. Louis Cardinals,Los Angeles Dodgers,St. Louis,Missouri,MLB,Baseball
855,05/21/2023,Tampa Bay Rays,Milwaukee Brewers,Tampa,Florida,MLB,Baseball
856,05/21/2023,Texas Rangers,Colorado Rockies,Arlington,Texas,MLB,Baseball
857,05/21/2023,Toronto Blue Jays,Baltimore Orioles,Toronto,Ontario,MLB,Baseball
858,05/21/2023,Washington Nationals,Detroit Tigers,Washington D.C.,Washington D.C.,MLB,Baseball
859,05/22/2023,Los Angeles Angels,Boston Red Sox,Los Angeles,California,MLB,Baseball
860,05/22/2023,Atlanta Braves,Los Angeles Dodgers,Atlanta,Georgia,MLB,Baseball
861,05/22/2023,Cincinnati Reds,St. Louis Cardinals,Cincinnati,Ohio,MLB,Baseball
862,05/22/2023,Cleveland Guardians,Chicago White Sox,Cleveland,Ohio,MLB,Baseball
863,05/22/2023,Colorado Rockies,Miami Marlins,Denver,Colorado,MLB,Baseball
864,05/22/2023,Kansas City Royals,Detroit Tigers,Kansas City,Missouri,MLB,Baseball
865,05/22/2023,Milwaukee Brewers,Houston Astros,Milwaukee,Wisconsin,MLB,Baseball
866,05/22/2023,Minnesota Twins,San Francisco Giants,Minneapolis,Minnesota,MLB,Baseball
867,05/22/2023,Philadelphia Phillies,Arizona Diamondbacks,Philadelphia,Pennsylvania,MLB,Baseball
868,05/22/2023,Pittsburgh Pirates,Texas Rangers,Pittsburgh,Pennsylvania,MLB,Baseball
869,05/22/2023,Seattle Mariners,Oakland Athletics,Seattle,Washington,MLB,Baseball
870,05/22/2023,Tampa Bay Rays,Toronto Blue Jays,Tampa,Florida,MLB,Baseball
871,05/23/2023,Los Angeles Angels,Boston Red Sox,Los Angeles,California,MLB,Baseball
872,05/23/2023,Atlanta Braves,Los Angeles Dodgers,Atlanta,Georgia,MLB,Baseball
873,05/23/2023,Chicago Cubs,New York Mets,Chicago,Illinois,MLB,Baseball
874,05/23/2023,Cincinnati Reds,St. Louis Cardinals,Cincinnati,Ohio,MLB,Baseball
875,05/23/2023,Cleveland Guardians,Chicago White Sox,Cleveland,Ohio,MLB,Baseball
876,05/23/2023,Colorado Rockies,Miami Marlins,Denver,Colorado,MLB,Baseball
877,05/23/2023,Kansas City Royals,Detroit Tigers,Kansas City,Missouri,MLB,Baseball
878,05/23/2023,Milwaukee Brewers,Houston Astros,Milwaukee,Wisconsin,MLB,Baseball
879,05/23/2023,Minnesota Twins,San Francisco Giants,Minneapolis,Minnesota,MLB,Baseball
880,05/23/2023,New York Yankees,Baltimore Orioles,New York,New York,MLB,Baseball
881,05/23/2023,Philadelphia Phillies,Arizona Diamondbacks,Philadelphia,Pennsylvania,MLB,Baseball
882,05/23/2023,Pittsburgh Pirates,Texas Rangers,Pittsburgh,Pennsylvania,MLB,Baseball
883,05/23/2023,Seattle Mariners,Oakland Athletics,Seattle,Washington,MLB,Baseball
884,05/23/2023,Tampa Bay Rays,Toronto Blue Jays,Tampa,Florida,MLB,Baseball
885,05/23/2023,Washington Nationals,San Diego Padres,Washington D.C.,Washington D.C.,MLB,Baseball
886,05/24/2023,Los Angeles Angels,Boston Red Sox,Los Angeles,California,MLB,Baseball
887,05/24/2023,Atlanta Braves,Los Angeles Dodgers,Atlanta,Georgia,MLB,Baseball
888,05/24/2023,Chicago Cubs,New York Mets,Chicago,Illinois,MLB,Baseball
889,05/24/2023,Cincinnati Reds,St. Louis Cardinals,Cincinnati,Ohio,MLB,Baseball
890,05/24/2023,Cleveland Guardians,Chicago White Sox,Cleveland,Ohio,MLB,Baseball
