Date,Home Team,Road Team,city,state,league,sport
9/20/23,D.C. United,Atlanta United FC,Washington D.C.,Washington D.C.,MLS,Soccer
9/20/23,CF Montréal,FC Cincinnati,Montreal,Quebec,MLS,Soccer
9/20/23,New York City FC,Orlando City SC,New York City,New York,MLS,Soccer
9/20/23,Inter Miami CF,Toronto FC,Fort Lauderdale,Florida,MLS,Soccer
9/20/23,Columbus Crew,Chicago Fire FC,Columbus,Ohio,MLS,Soccer
9/20/23,New York Red Bulls,Austin FC,Harrison,New Jersey,MLS,Soccer
9/20/23,Houston Dynamo FC,Vancouver Whitecaps FC,Houston,Texas,MLS,Soccer
9/20/23,Sporting Kansas City,Nashville SC,Kansas City,Kansas,MLS,Soccer
9/20/23,St. Louis City SC,Los Angeles FC,St. Louis,Missouri,MLS,Soccer
9/20/23,Real Salt Lake,FC Dallas,Sandy,Utah,MLS,Soccer
9/20/23,Colorado Rapids,Seattle Sounders FC,Commerce City,Colorado,MLS,Soccer
9/20/23,Portland Timbers,San Jose Earthquakes,Portland,Oregon,MLS,Soccer
9/20/23,LA Galaxy,Minnesota United FC,Carson,California,MLS,Soccer
9/23/23,FC Cincinnati,Charlotte FC,Cincinnati,Ohio,MLS,Soccer
9/23/23,New York City FC,Toronto FC,New York City,New York,MLS,Soccer
9/23/23,D.C. United,New York Red Bulls,Washington D.C.,Washington D.C.,MLS,Soccer
9/23/23,Atlanta United FC,CF Montréal,Atlanta,Georgia,MLS,Soccer
9/23/23,Philadelphia Union,Los Angeles FC,Chester,Pennsylvania,MLS,Soccer
9/23/23,Chicago Fire FC,New England Revolution,Chicago,Illinois,MLS,Soccer
9/23/23,Minnesota United FC,St. Louis City SC,Saint Paul,Minnesota,MLS,Soccer
9/23/23,FC Dallas,Columbus Crew,Frisco,Texas,MLS,Soccer
9/23/23,Sporting Kansas City,Houston Dynamo FC,Kansas City,Kansas,MLS,Soccer
9/23/23,Real Salt Lake,Vancouver Whitecaps FC,Sandy,Utah,MLS,Soccer
9/23/23,Portland Timbers,Colorado Rapids,Portland,Oregon,MLS,Soccer
9/23/23,San Jose Earthquakes,Nashville SC,San Jose,California,MLS,Soccer
9/24/23,Orlando City SC,Inter Miami CF,Orlando,Florida,MLS,Soccer
9/24/23,Austin FC,LA Galaxy,Austin,Texas,MLS,Soccer
9/30/23,Inter Miami CF,New York City FC,Fort Lauderdale,Florida,MLS,Soccer
9/30/23,Toronto FC,FC Cincinnati,Toronto,Ontario,MLS,Soccer
9/30/23,New England Revolution,Charlotte FC,Foxborough,Massachusetts,MLS,Soccer
9/30/23,Orlando City SC,CF Montréal,Orlando,Florida,MLS,Soccer
9/30/23,Columbus Crew,Philadelphia Union,Columbus,Ohio,MLS,Soccer
9/30/23,New York Red Bulls,Chicago Fire FC,Harrison,New Jersey,MLS,Soccer
9/30/23,Nashville SC,Seattle Sounders FC,Nashville,Tennessee,MLS,Soccer
9/30/23,St. Louis City SC,Sporting Kansas City,St. Louis,Missouri,MLS,Soccer
