Home Team,Road Team,Date,Sport
Boston Red Sox,Baltimore Orioles,"September 10, 2023",Baseball
New York Yankees,Milwaukee Brewers,"September 10, 2023",Baseball
Washington Nationals,Los Angeles Dodgers,"September 10, 2023",Baseball
Toronto Blue Jays,Kansas City Royals,"September 10, 2023",Baseball
Cincinnati Reds,St. Louis Cardinals,"September 10, 2023",Baseball
Houston Astros,San Diego Padres,"September 10, 2023",Baseball
Minnesota Twins,New York Mets,"September 10, 2023",Baseball
Chicago Cubs,Arizona Diamondbacks,"September 10, 2023",Baseball
Texas Rangers,Oakland Athletics,"September 10, 2023",Baseball
San Francisco Giants,Colorado Rockies,"September 10, 2023",Baseball
Los Angeles Angels,Cleveland Guardians,"September 10, 2023",Baseball
Philadelphia Phillies,Atlanta Braves,"September 11, 2023",Baseball
Baltimore Orioles,St. Louis Cardinals,"September 11, 2023",Baseball
Pittsburgh Pirates,Washington Nationals,"September 11, 2023",Baseball
Philadelphia Phillies,Atlanta Braves,"September 11, 2023",Baseball
Toronto Blue Jays,Texas Rangers,"September 11, 2023",Baseball
Boston Red Sox,New York Yankees,"September 11, 2023",Baseball
New York Mets,Arizona Diamondbacks,"September 11, 2023",Baseball
Chicago White Sox,Kansas City Royals,"September 11, 2023",Baseball
Milwaukee Brewers,Miami Marlins,"September 11, 2023",Baseball
Minnesota Twins,Tampa Bay Rays,"September 11, 2023",Baseball
Houston Astros,Oakland Athletics,"September 11, 2023",Baseball
Colorado Rockies,Chicago Cubs,"September 11, 2023",Baseball
Seattle Mariners,Los Angeles Angels,"September 11, 2023",Baseball
San Francisco Giants,Cleveland Guardians,"September 11, 2023",Baseball
Los Angeles Dodgers,San Diego Padres,"September 11, 2023",Baseball
Baltimore Orioles,St. Louis Cardinals,"September 12, 2023",Baseball
Pittsburgh Pirates,Washington Nationals,"September 12, 2023",Baseball
Detroit Tigers,Cincinnati Reds,"September 12, 2023",Baseball
Philadelphia Phillies,Atlanta Braves,"September 12, 2023",Baseball
Toronto Blue Jays,Texas Rangers,"September 12, 2023",Baseball
Boston Red Sox,New York Yankees,"September 12, 2023",Baseball
New York Mets,Arizona Diamondbacks,"September 12, 2023",Baseball
Chicago White Sox,Kansas City Royals,"September 12, 2023",Baseball
Milwaukee Brewers,Miami Marlins,"September 12, 2023",Baseball
Minnesota Twins,Tampa Bay Rays,"September 12, 2023",Baseball
Houston Astros,Oakland Athletics,"September 12, 2023",Baseball
Colorado Rockies,Chicago Cubs,"September 12, 2023",Baseball
Seattle Mariners,Los Angeles Angels,"September 12, 2023",Baseball
San Francisco Giants,Cleveland Guardians,"September 12, 2023",Baseball
Los Angeles Dodgers,San Diego Padres,"September 12, 2023",Baseball
Minnesota Twins,Tampa Bay Rays,"September 13, 2023",Baseball
Colorado Rockies,Chicago Cubs,"September 13, 2023",Baseball
San Francisco Giants,Cleveland Guardians,"September 13, 2023",Baseball
Seattle Mariners,Los Angeles Angels,"September 13, 2023",Baseball
Baltimore Orioles,St. Louis Cardinals,"September 13, 2023",Baseball
Pittsburgh Pirates,Washington Nationals,"September 13, 2023",Baseball
Detroit Tigers,Cincinnati Reds,"September 13, 2023",Baseball
Philadelphia Phillies,Atlanta Braves,"September 13, 2023",Baseball
Toronto Blue Jays,Texas Rangers,"September 13, 2023",Baseball
Boston Red Sox,New York Yankees,"September 13, 2023",Baseball
Houston Astros,Oakland Athletics,"September 13, 2023",Baseball
New York Mets,Arizona Diamondbacks,"September 13, 2023",Baseball
Chicago White Sox,Kansas City Royals,"September 13, 2023",Baseball
Milwaukee Brewers,Miami Marlins,"September 13, 2023",Baseball
Los Angeles Dodgers,San Diego Padres,"September 13, 2023",Baseball
Pittsburgh Pirates,Washington Nationals,"September 14, 2023",Baseball
Detroit Tigers,Cincinnati Reds,"September 14, 2023",Baseball
Milwaukee Brewers,Miami Marlins,"September 14, 2023",Baseball
New York Mets,Arizona Diamondbacks,"September 14, 2023",Baseball
Baltimore Orioles,Tampa Bay Rays,"September 14, 2023",Baseball
Toronto Blue Jays,Texas Rangers,"September 14, 2023",Baseball
Chicago White Sox,Minnesota Twins,"September 14, 2023",Baseball
Boston Red Sox,New York Yankees,"September 14, 2023",Baseball
Colorado Rockies,San Francisco Giants,"September 14, 2023",Baseball
Pittsburgh Pirates,New York Yankees,"September 15, 2023",Baseball
Miami Marlins,Atlanta Braves,"September 15, 2023",Baseball
Baltimore Orioles,Tampa Bay Rays,"September 15, 2023",Baseball
Toronto Blue Jays,Boston Red Sox,"September 15, 2023",Baseball
Cleveland Guardians,Texas Rangers,"September 15, 2023",Baseball
New York Mets,Cincinnati Reds,"September 15, 2023",Baseball
Chicago White Sox,Minnesota Twins,"September 15, 2023",Baseball
Kansas City Royals,Houston Astros,"September 15, 2023",Baseball
Milwaukee Brewers,Washington Nationals,"September 15, 2023",Baseball
St. Louis Cardinals,Philadelphia Phillies,"September 15, 2023",Baseball
Colorado Rockies,San Francisco Giants,"September 15, 2023",Baseball
Los Angeles Angels,Detroit Tigers,"September 15, 2023",Baseball
Arizona Diamondbacks,Chicago Cubs,"September 15, 2023",Baseball
Oakland Athletics,San Diego Padres,"September 15, 2023",Baseball
Seattle Mariners,Los Angeles Dodgers,"September 15, 2023",Baseball
Toronto Blue Jays,Boston Red Sox,"September 16, 2023",Baseball
Oakland Athletics,San Diego Padres,"September 16, 2023",Baseball
Miami Marlins,Atlanta Braves,"September 16, 2023",Baseball
Cleveland Guardians,Texas Rangers,"September 16, 2023",Baseball
Pittsburgh Pirates,New York Yankees,"September 16, 2023",Baseball
Baltimore Orioles,Tampa Bay Rays,"September 16, 2023",Baseball
Chicago White Sox,Minnesota Twins,"September 16, 2023",Baseball
Kansas City Royals,Houston Astros,"September 16, 2023",Baseball
Milwaukee Brewers,Washington Nationals,"September 16, 2023",Baseball
New York Mets,Cincinnati Reds,"September 16, 2023",Baseball
St. Louis Cardinals,Philadelphia Phillies,"September 16, 2023",Baseball
Arizona Diamondbacks,Chicago Cubs,"September 16, 2023",Baseball
Colorado Rockies,San Francisco Giants,"September 16, 2023",Baseball
Los Angeles Angels,Detroit Tigers,"September 16, 2023",Baseball
Seattle Mariners,Los Angeles Dodgers,"September 16, 2023",Baseball
Baltimore Orioles,Tampa Bay Rays,"September 17, 2023",Baseball
Pittsburgh Pirates,New York Yankees,"September 17, 2023",Baseball
Toronto Blue Jays,Boston Red Sox,"September 17, 2023",Baseball
Cleveland Guardians,Texas Rangers,"September 17, 2023",Baseball
Miami Marlins,Atlanta Braves,"September 17, 2023",Baseball
New York Mets,Cincinnati Reds,"September 17, 2023",Baseball
Chicago White Sox,Minnesota Twins,"September 17, 2023",Baseball
Kansas City Royals,Houston Astros,"September 17, 2023",Baseball
Milwaukee Brewers,Washington Nationals,"September 17, 2023",Baseball
St. Louis Cardinals,Philadelphia Phillies,"September 17, 2023",Baseball
Colorado Rockies,San Francisco Giants,"September 17, 2023",Baseball
Los Angeles Angels,Detroit Tigers,"September 17, 2023",Baseball
Oakland Athletics,San Diego Padres,"September 17, 2023",Baseball
Arizona Diamondbacks,Chicago Cubs,"September 17, 2023",Baseball
Seattle Mariners,Los Angeles Dodgers,"September 17, 2023",Baseball
Kansas City Royals,Cleveland Guardians,"September 18, 2023",Baseball
Cincinnati Reds,Minnesota Twins,"September 18, 2023",Baseball
Miami Marlins,New York Mets,"September 18, 2023",Baseball
Washington Nationals,Chicago White Sox,"September 18, 2023",Baseball
Atlanta Braves,Philadelphia Phillies,"September 18, 2023",Baseball
St. Louis Cardinals,Milwaukee Brewers,"September 18, 2023",Baseball
Texas Rangers,Boston Red Sox,"September 18, 2023",Baseball
Houston Astros,Baltimore Orioles,"September 18, 2023",Baseball
Oakland Athletics,Seattle Mariners,"September 18, 2023",Baseball
San Diego Padres,Colorado Rockies,"September 18, 2023",Baseball
Los Angeles Dodgers,Detroit Tigers,"September 18, 2023",Baseball
Cincinnati Reds,Minnesota Twins,"September 19, 2023",Baseball
Miami Marlins,New York Mets,"September 19, 2023",Baseball
Tampa Bay Rays,Los Angeles Angels,"September 19, 2023",Baseball
New York Yankees,Toronto Blue Jays,"September 19, 2023",Baseball
Washington Nationals,Chicago White Sox,"September 19, 2023",Baseball
Atlanta Braves,Philadelphia Phillies,"September 19, 2023",Baseball
Chicago Cubs,Pittsburgh Pirates,"September 19, 2023",Baseball
Kansas City Royals,Cleveland Guardians,"September 19, 2023",Baseball
St. Louis Cardinals,Milwaukee Brewers,"September 19, 2023",Baseball
Texas Rangers,Boston Red Sox,"September 19, 2023",Baseball
Houston Astros,Baltimore Orioles,"September 19, 2023",Baseball
Arizona Diamondbacks,San Francisco Giants,"September 19, 2023",Baseball
Oakland Athletics,Seattle Mariners,"September 19, 2023",Baseball
San Diego Padres,Colorado Rockies,"September 19, 2023",Baseball
Los Angeles Dodgers,Detroit Tigers,"September 19, 2023",Baseball
Atlanta Braves,Philadelphia Phillies,"September 20, 2023",Baseball
Cincinnati Reds,Minnesota Twins,"September 20, 2023",Baseball
Washington Nationals,Chicago White Sox,"September 20, 2023",Baseball
Texas Rangers,Boston Red Sox,"September 20, 2023",Baseball
Houston Astros,Baltimore Orioles,"September 20, 2023",Baseball
Kansas City Royals,Cleveland Guardians,"September 20, 2023",Baseball
Oakland Athletics,Seattle Mariners,"September 20, 2023",Baseball
Arizona Diamondbacks,San Francisco Giants,"September 20, 2023",Baseball
San Diego Padres,Colorado Rockies,"September 20, 2023",Baseball
Miami Marlins,New York Mets,"September 20, 2023",Baseball
Tampa Bay Rays,Los Angeles Angels,"September 20, 2023",Baseball
New York Yankees,Toronto Blue Jays,"September 20, 2023",Baseball
Chicago Cubs,Pittsburgh Pirates,"September 20, 2023",Baseball
St. Louis Cardinals,Milwaukee Brewers,"September 20, 2023",Baseball
Los Angeles Dodgers,Detroit Tigers,"September 20, 2023",Baseball
Tampa Bay Rays,Los Angeles Angels,"September 21, 2023",Baseball
St. Louis Cardinals,Milwaukee Brewers,"September 21, 2023",Baseball
New York Yankees,Toronto Blue Jays,"September 21, 2023",Baseball
Philadelphia Phillies,New York Mets,"September 21, 2023",Baseball
Washington Nationals,Atlanta Braves,"September 21, 2023",Baseball
Cleveland Guardians,Baltimore Orioles,"September 21, 2023",Baseball
Chicago Cubs,Pittsburgh Pirates,"September 21, 2023",Baseball
Oakland Athletics,Detroit Tigers,"September 21, 2023",Baseball
Los Angeles Dodgers,San Francisco Giants,"September 21, 2023",Baseball
Chicago Cubs,Colorado Rockies,"September 22, 2023",Baseball
Cincinnati Reds,Pittsburgh Pirates,"September 22, 2023",Baseball
Miami Marlins,Milwaukee Brewers,"September 22, 2023",Baseball
Tampa Bay Rays,Toronto Blue Jays,"September 22, 2023",Baseball
New York Yankees,Arizona Diamondbacks,"September 22, 2023",Baseball
Philadelphia Phillies,New York Mets,"September 22, 2023",Baseball
Washington Nationals,Atlanta Braves,"September 22, 2023",Baseball
Boston Red Sox,Chicago White Sox,"September 22, 2023",Baseball
Cleveland Guardians,Baltimore Orioles,"September 22, 2023",Baseball
Texas Rangers,Seattle Mariners,"September 22, 2023",Baseball
Houston Astros,Kansas City Royals,"September 22, 2023",Baseball
Minnesota Twins,Los Angeles Angels,"September 22, 2023",Baseball
Oakland Athletics,Detroit Tigers,"September 22, 2023",Baseball
San Diego Padres,St. Louis Cardinals,"September 22, 2023",Baseball
Los Angeles Dodgers,San Francisco Giants,"September 22, 2023",Baseball
New York Yankees,Arizona Diamondbacks,"September 23, 2023",Baseball
Washington Nationals,Atlanta Braves,"September 23, 2023",Baseball
Minnesota Twins,Los Angeles Angels,"September 23, 2023",Baseball
Chicago Cubs,Colorado Rockies,"September 23, 2023",Baseball
Philadelphia Phillies,New York Mets,"September 23, 2023",Baseball
Oakland Athletics,Detroit Tigers,"September 23, 2023",Baseball
Boston Red Sox,Chicago White Sox,"September 23, 2023",Baseball
Miami Marlins,Milwaukee Brewers,"September 23, 2023",Baseball
Tampa Bay Rays,Toronto Blue Jays,"September 23, 2023",Baseball
Cleveland Guardians,Baltimore Orioles,"September 23, 2023",Baseball
Cincinnati Reds,Pittsburgh Pirates,"September 23, 2023",Baseball
Texas Rangers,Seattle Mariners,"September 23, 2023",Baseball
Houston Astros,Kansas City Royals,"September 23, 2023",Baseball
San Diego Padres,St. Louis Cardinals,"September 23, 2023",Baseball
Los Angeles Dodgers,San Francisco Giants,"September 23, 2023",Baseball
Philadelphia Phillies,New York Mets,"September 24, 2023",Baseball
Tampa Bay Rays,Toronto Blue Jays,"September 24, 2023",Baseball
Boston Red Sox,Chicago White Sox,"September 24, 2023",Baseball
New York Yankees,Arizona Diamondbacks,"September 24, 2023",Baseball
Washington Nationals,Atlanta Braves,"September 24, 2023",Baseball
Cincinnati Reds,Pittsburgh Pirates,"September 24, 2023",Baseball
Cleveland Guardians,Baltimore Orioles,"September 24, 2023",Baseball
Miami Marlins,Milwaukee Brewers,"September 24, 2023",Baseball
Houston Astros,Kansas City Royals,"September 24, 2023",Baseball
Minnesota Twins,Los Angeles Angels,"September 24, 2023",Baseball
Chicago Cubs,Colorado Rockies,"September 24, 2023",Baseball
Texas Rangers,Seattle Mariners,"September 24, 2023",Baseball
Oakland Athletics,Detroit Tigers,"September 24, 2023",Baseball
Los Angeles Dodgers,San Francisco Giants,"September 24, 2023",Baseball
San Diego Padres,St. Louis Cardinals,"September 24, 2023",Baseball
Chicago White Sox,Arizona Diamondbacks,"September 25, 2023",Baseball
Los Angeles Angels,Texas Rangers,"September 25, 2023",Baseball
Seattle Mariners,Houston Astros,"September 25, 2023",Baseball
San Francisco Giants,San Diego Padres,"September 25, 2023",Baseball
Colorado Rockies,Los Angeles Dodgers,"September 26, 2023",Baseball
Cleveland Guardians,Cincinnati Reds,"September 26, 2023",Baseball
Baltimore Orioles,Washington Nationals,"September 26, 2023",Baseball
Detroit Tigers,Kansas City Royals,"September 26, 2023",Baseball
Philadelphia Phillies,Pittsburgh Pirates,"September 26, 2023",Baseball
Toronto Blue Jays,New York Yankees,"September 26, 2023",Baseball
Boston Red Sox,Tampa Bay Rays,"September 26, 2023",Baseball
New York Mets,Miami Marlins,"September 26, 2023",Baseball
Atlanta Braves,Chicago Cubs,"September 26, 2023",Baseball
Chicago White Sox,Arizona Diamondbacks,"September 26, 2023",Baseball
Milwaukee Brewers,St. Louis Cardinals,"September 26, 2023",Baseball
Minnesota Twins,Oakland Athletics,"September 26, 2023",Baseball
Colorado Rockies,Los Angeles Dodgers,"September 26, 2023",Baseball
Los Angeles Angels,Texas Rangers,"September 26, 2023",Baseball
Seattle Mariners,Houston Astros,"September 26, 2023",Baseball
San Francisco Giants,San Diego Padres,"September 26, 2023",Baseball
Chicago White Sox,Arizona Diamondbacks,"September 27, 2023",Baseball
Boston Red Sox,Tampa Bay Rays,"September 27, 2023",Baseball
Cleveland Guardians,Cincinnati Reds,"September 27, 2023",Baseball
Baltimore Orioles,Washington Nationals,"September 27, 2023",Baseball
Detroit Tigers,Kansas City Royals,"September 27, 2023",Baseball
Philadelphia Phillies,Pittsburgh Pirates,"September 27, 2023",Baseball
Toronto Blue Jays,New York Yankees,"September 27, 2023",Baseball
New York Mets,Miami Marlins,"September 27, 2023",Baseball
Atlanta Braves,Chicago Cubs,"September 27, 2023",Baseball
Milwaukee Brewers,St. Louis Cardinals,"September 27, 2023",Baseball
Minnesota Twins,Oakland Athletics,"September 27, 2023",Baseball
Colorado Rockies,Los Angeles Dodgers,"September 27, 2023",Baseball
Los Angeles Angels,Texas Rangers,"September 27, 2023",Baseball
Seattle Mariners,Houston Astros,"September 27, 2023",Baseball
San Francisco Giants,San Diego Padres,"September 27, 2023",Baseball
Detroit Tigers,Kansas City Royals,"September 28, 2023",Baseball
Minnesota Twins,Oakland Athletics,"September 28, 2023",Baseball
Philadelphia Phillies,Pittsburgh Pirates,"September 28, 2023",Baseball
Baltimore Orioles,Boston Red Sox,"September 28, 2023",Baseball
Toronto Blue Jays,New York Yankees,"September 28, 2023",Baseball
New York Mets,Miami Marlins,"September 28, 2023",Baseball
Atlanta Braves,Chicago Cubs,"September 28, 2023",Baseball
Milwaukee Brewers,St. Louis Cardinals,"September 28, 2023",Baseball
Colorado Rockies,Los Angeles Dodgers,"September 28, 2023",Baseball
Seattle Mariners,Texas Rangers,"September 28, 2023",Baseball
Pittsburgh Pirates,Miami Marlins,"September 29, 2023",Baseball
Detroit Tigers,Cleveland Guardians,"September 29, 2023",Baseball
Baltimore Orioles,Boston Red Sox,"September 29, 2023",Baseball
Toronto Blue Jays,Tampa Bay Rays,"September 29, 2023",Baseball
New York Mets,Philadelphia Phillies,"September 29, 2023",Baseball
Atlanta Braves,Washington Nationals,"September 29, 2023",Baseball
Chicago White Sox,San Diego Padres,"September 29, 2023",Baseball
Colorado Rockies,Minnesota Twins,"September 29, 2023",Baseball
Kansas City Royals,New York Yankees,"September 29, 2023",Baseball
Milwaukee Brewers,Chicago Cubs,"September 29, 2023",Baseball
St. Louis Cardinals,Cincinnati Reds,"September 29, 2023",Baseball
Los Angeles Angels,Oakland Athletics,"September 29, 2023",Baseball
Arizona Diamondbacks,Houston Astros,"September 29, 2023",Baseball
Seattle Mariners,Texas Rangers,"September 29, 2023",Baseball
San Francisco Giants,Los Angeles Dodgers,"September 29, 2023",Baseball
Detroit Tigers,Cleveland Guardians,"September 30, 2023",Baseball
Toronto Blue Jays,Tampa Bay Rays,"September 30, 2023",Baseball
Pittsburgh Pirates,Miami Marlins,"September 30, 2023",Baseball
Baltimore Orioles,Boston Red Sox,"September 30, 2023",Baseball
Chicago White Sox,San Diego Padres,"September 30, 2023",Baseball
Kansas City Royals,New York Yankees,"September 30, 2023",Baseball
Milwaukee Brewers,Chicago Cubs,"September 30, 2023",Baseball
New York Mets,Philadelphia Phillies,"September 30, 2023",Baseball
St. Louis Cardinals,Cincinnati Reds,"September 30, 2023",Baseball
Atlanta Braves,Washington Nationals,"September 30, 2023",Baseball
Arizona Diamondbacks,Houston Astros,"September 30, 2023",Baseball
Colorado Rockies,Minnesota Twins,"September 30, 2023",Baseball
San Francisco Giants,Los Angeles Dodgers,"September 30, 2023",Baseball
Los Angeles Angels,Oakland Athletics,"September 30, 2023",Baseball
Seattle Mariners,Texas Rangers,"September 30, 2023",Baseball
Atlanta Braves,Washington Nationals,"October 01, 2023",Baseball
Baltimore Orioles,Boston Red Sox,"October 01, 2023",Baseball
Pittsburgh Pirates,Miami Marlins,"October 01, 2023",Baseball
San Francisco Giants,Los Angeles Dodgers,"October 01, 2023",Baseball
Los Angeles Angels,Oakland Athletics,"October 01, 2023",Baseball
Toronto Blue Jays,Tampa Bay Rays,"October 01, 2023",Baseball
Arizona Diamondbacks,Houston Astros,"October 01, 2023",Baseball
Chicago White Sox,San Diego Padres,"October 01, 2023",Baseball
Colorado Rockies,Minnesota Twins,"October 01, 2023",Baseball
Detroit Tigers,Cleveland Guardians,"October 01, 2023",Baseball
Kansas City Royals,New York Yankees,"October 01, 2023",Baseball
Milwaukee Brewers,Chicago Cubs,"October 01, 2023",Baseball
New York Mets,Philadelphia Phillies,"October 01, 2023",Baseball
Seattle Mariners,Texas Rangers,"October 01, 2023",Baseball
St. Louis Cardinals,Cincinnati Reds,"October 01, 2023",Baseball
