id,game_date,home_team,road_team,city,state,league,sport
70,2023-09-16,Colorado Rapids,New England Revolution,Commerce City,Colorado,MLS,Soccer
71,2023-09-16,Los Angeles FC,LA Galaxy,Los Angeles,California,MLS,Soccer
72,2023-09-16,San Jose Earthquakes,Real Salt Lake,San Jose,California,MLS,Soccer
73,2023-09-17,Austin FC,Portland Timbers,Austin,Texas,MLS,Soccer
74,2023-09-20,Charlotte FC,Philadelphia Union,Charlotte,North Carolina,MLS,Soccer
75,2023-09-20,D.C. United,Atlanta United FC,Washington D.C.,Washington D.C.,MLS,Soccer
76,2023-09-20,CF Montréal,FC Cincinnati,Montreal,Quebec,MLS,Soccer
77,2023-09-20,New York City FC,Orlando City SC,New York City,New York,MLS,Soccer
78,2023-09-20,Inter Miami CF,Toronto FC,Fort Lauderdale,Florida,MLS,Soccer
79,2023-09-20,Columbus Crew,Chicago Fire FC,Columbus,Ohio,MLS,Soccer
80,2023-09-20,New York Red Bulls,Austin FC,Harrison,New Jersey,MLS,Soccer
81,2023-09-20,Houston Dynamo FC,Vancouver Whitecaps FC,Houston,Texas,MLS,Soccer
82,2023-09-20,Sporting Kansas City,Nashville SC,Kansas City,Kansas,MLS,Soccer
83,2023-09-20,St. Louis City SC,Los Angeles FC,St. Louis,Missouri,MLS,Soccer
84,2023-09-20,Real Salt Lake,FC Dallas,Sandy,Utah,MLS,Soccer
85,2023-09-20,Colorado Rapids,Seattle Sounders FC,Commerce City,Colorado,MLS,Soccer
86,2023-09-20,Portland Timbers,San Jose Earthquakes,Portland,Oregon,MLS,Soccer
87,2023-09-20,LA Galaxy,Minnesota United FC,Carson,California,MLS,Soccer
88,2023-09-23,FC Cincinnati,Charlotte FC,Cincinnati,Ohio,MLS,Soccer
89,2023-09-23,New York City FC,Toronto FC,New York City,New York,MLS,Soccer
90,2023-09-23,D.C. United,New York Red Bulls,Washington D.C.,Washington D.C.,MLS,Soccer
91,2023-09-23,Atlanta United FC,CF Montréal,Atlanta,Georgia,MLS,Soccer
92,2023-09-23,Philadelphia Union,Los Angeles FC,Chester,Pennsylvania,MLS,Soccer
93,2023-09-23,Chicago Fire FC,New England Revolution,Chicago,Illinois,MLS,Soccer
94,2023-09-23,Minnesota United FC,St. Louis City SC,Saint Paul,Minnesota,MLS,Soccer
